N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
137,HL만도,"44,150","1,000",-2.21%,"1,000","20,732","46,957",23.36,"184,844",9.78,9.31,
138,KCC,"233,000",500,+0.22%,"5,000","20,705","8,886",13.55,"24,873",-7.48,-0.92,
139,CJ대한통운,"90,300","1,200",-1.31%,"5,000","20,600","22,812",16.86,"29,163",10.21,1.59,
140,KODEX 200TR,"10,990",165,-1.48%,0,"20,408","185,700",0.02,"504,289",N/A,N/A,
141,농심,"335,000","6,000",-1.76%,"5,000","20,377","6,083",15.49,"15,088",17.52,4.73,
142,DB하이텍,"45,400",100,-0.22%,"5,000","20,157","44,399",26.48,"318,469",3.32,33.35,
143,TIGER 미국나스닥100,"66,425",460,+0.70%,0,"20,087","30,240",0.13,"90,904",N/A,N/A,
144,동서,"20,050",250,-1.23%,500,"19,990","99,700",3.07,"52,260",18.06,8.05,
145,GS건설,"23,200",300,-1.28%,"5,000","19,855","85,581",27.93,"739,902",3.97,9.32,
146,대한전선,"1,585",10,-0.63%,100,"19,725","1,244,473",2.52,"5,540,581",60.96,7.78,
147,KODEX 레버리지,"15,600",520,-3.23%,0,"19,656","126,000",0.84,"21,667,220",N/A,N/A,
148,JB금융지주,"9,890",960,-8.85%,"5,000","19,482","196,983",31.58,"3,527,067",3.35,12.80,
149,삼천리,"477,500",500,-0.10%,"5,000","19,363","4,055",14.48,"21,875",24.36,4.52,
150,대우건설,"4,645",70,-1.48%,"5,000","19,306","415,623",12.88,"882,697",3.85,16.47,
151,영원무역,"43,250",300,-0.69%,500,"19,165","44,311",30.23,"59,840",3.38,14.71,
152,대성홀딩스,"118,100",0,0.00%,"1,000","19,002","16,089",5.40,"28,832",118.81,3.61,
153,TIGER 200,"32,665",530,-1.60%,0,"18,750","57,400",3.44,"960,458",N/A,N/A,
154,오뚜기,"461,500","8,500",-1.81%,"5,000","18,496","4,008",11.25,"2,693",11.88,8.91,
155,하이트진로,"26,000",100,+0.39%,"5,000","18,235","70,134",13.40,"303,111",16.05,6.62,
156,코스모신소재,"58,600",100,+0.17%,"1,000","17,961","30,651",6.48,"251,621",62.74,9.42,
157,LIG넥스원,"79,300","1,400",-1.73%,"5,000","17,446","22,000",12.82,"338,980",9.51,14.63,
158,대웅제약,"148,200",400,+0.27%,"2,500","17,171","11,587",7.19,"38,242",20.87,4.39,
159,효성티앤씨,"394,000","3,000",+0.77%,"5,000","17,051","4,328",8.46,"29,053",11.21,76.22,
160,TIGER 미국S&P500,"12,475",15,-0.12%,0,"16,866","135,200",0.23,"722,242",N/A,N/A,
161,효성첨단소재,"375,500","8,500",-2.21%,"5,000","16,822","4,480",6.84,"18,958",9.29,54.69,
162,쌍용차,"8,760",0,0.00%,"5,000","16,377","186,956",24.60,0,-2.47,305.77,
163,LS ELECTRIC,"52,200",300,-0.57%,"5,000","15,660","30,000",12.76,"65,241",15.96,5.86,
164,한전KPS,"34,400",150,-0.43%,200,"15,480","45,000",5.66,"92,013",23.61,9.12,
165,두산,"92,700",500,-0.54%,"5,000","15,318","16,524",7.40,"127,464",-18.72,11.08,
166,금양,"26,200","1,250",+5.01%,500,"15,209","58,050",2.60,"5,863,455",86.47,13.57,
167,녹십자,"130,000",100,-0.08%,"5,000","15,192","11,687",22.06,"21,037",14.00,10.30,
168,현대두산인프라코어,"7,610",10,-0.13%,"1,000","15,050","197,763",12.89,"2,036,552",3.27,24.63,
169,TIGER 미국필라델피아반도체나스닥,"9,595",25,+0.26%,0,"14,983","156,150",0.31,"566,176",N/A,N/A,
170,롯데칠성,"159,200","1,500",-0.93%,500,"14,772","9,279",12.93,"13,511",13.43,9.96,
171,효성,"69,500",500,-0.71%,"5,000","14,644","21,071",4.50,"28,431",12.60,18.04,
172,DL이앤씨,"37,700",200,-0.53%,"5,000","14,587","38,694",21.64,"127,037",3.35,N/A,
173,롯데정밀화학,"56,500",600,-1.05%,"5,000","14,577","25,800",20.08,"68,655",4.74,30.43,
174,현대백화점,"62,000","1,100",-1.74%,"5,000","14,510","23,402",24.86,"41,500",6.91,4.36,
175,SK케미칼,"83,800","1,600",-1.87%,"5,000","14,459","17,254",15.10,"72,836",7.86,11.19,
176,현대위아,"52,800","1,100",-2.04%,"5,000","14,359","27,195",10.89,"156,114",7.01,1.96,
177,현대일렉트릭,"38,350",450,-1.16%,"5,000","13,824","36,047",15.12,"193,239",28.16,-5.08,
178,TIGER 미국테크TOP10 INDXX,"9,050",175,+1.97%,0,"13,756","152,000",0.39,"814,924",N/A,N/A,
179,솔루스첨단소재,"39,000",0,0.00%,100,"13,693","35,111",5.42,"222,045",-886.36,4.00,
180,한미반도체,"13,900",70,+0.51%,100,"13,530","97,339",5.20,"426,954",11.01,34.59,
181,LX인터내셔널,"34,650",500,-1.42%,"5,000","13,430","38,760",30.96,"204,122",2.27,22.49,
182,DGB금융지주,"7,860",30,-0.38%,"5,000","13,295","169,146",44.96,"894,986",2.77,9.63,
183,동국제강,"13,660",130,-0.94%,"5,000","13,036","95,433",25.61,"230,978",1.78,23.41,
184,LX세미콘,"79,200","1,600",-1.98%,500,"12,881","16,264",28.92,"110,464",4.45,44.49,
185,한국앤컴퍼니,"13,410",70,-0.52%,500,"12,731","94,935",9.07,"50,536",5.32,5.53,
186,DL,"60,700","1,600",-2.57%,"5,000","12,720","20,956",10.30,"83,072",34.27,26.52,
187,TIGER 2차전지테마,"19,315",85,-0.44%,0,"12,700","65,750",0.19,"722,113",N/A,N/A,
188,GKL,"20,350",300,+1.50%,500,"12,588","61,856",5.94,"313,176",-26.12,-26.04,
189,KODEX 삼성그룹,"9,145",120,-1.30%,0,"12,547","137,200",0.04,"380,258",N/A,N/A,
190,덴티움,"113,200",500,-0.44%,500,"12,530","11,069",25.96,"75,799",13.21,21.29,
191,제주항공,"16,260",190,+1.18%,"1,000","12,519","76,994",2.01,"388,542",-3.90,-135.83,
192,KBSTAR 200,"32,855",510,-1.53%,0,"12,518","38,100",0.07,"748,552",N/A,N/A,
193,KODEX 2차전지산업,"20,650",5,+0.02%,0,"12,390","60,000",0.63,"1,195,575",N/A,N/A,
194,한샘,"52,300",300,-0.57%,"1,000","12,308","23,534",14.58,"30,030",184.81,9.10,
195,코오롱인더,"44,500",500,-1.11%,"5,000","12,246","27,519",18.13,"89,754",8.14,8.20,
196,현대엘리베이,"29,750",750,-2.46%,"5,000","12,143","40,815",29.27,"66,123",8.48,10.62,
197,동원시스템즈,"41,800",150,-0.36%,"5,000","12,118","28,991",13.48,"19,271",25.90,6.95,
198,TIGER TOP10,"10,540",105,-0.99%,0,"11,905","112,950",13.18,"152,604",N/A,N/A,
199,대웅,"20,400",100,+0.49%,500,"11,861","58,142",4.72,"59,881",9.51,11.13,
200,후성,"12,570",110,-0.87%,500,"11,860","94,352",5.61,"818,122",16.35,9.61,
